Week,UK Visits,US Visits,DE Visits,AU Visits,EU Visits,UK Gross Demand in GBP (inc tax),US Gross Demand in GBP (inc tax),DE Gross Demand in GBP (inc tax),AU Gross Demand in GBP (inc tax),EU Gross Demand in GBP (inc tax)
2021-02-28,126559,93377,46801,18479,13359,575227,520946,310386,111610,43062
2021-03-07,148539,125069,56025,22008,16728,678924,732443,346586,135585,52036
2021-03-14,151869,118700,59159,23321,19120,859319,748601,409796,171643,47164
2021-03-21,175977,120533,61451,22559,26311,1132266,602290,478393,164417,77813
2021-03-28,165054,115654,57571,20904,21081,868732,481318,399558,125287,68162
2021-04-04,187752,130417,70438,26997,30117,973386,638172,537008,150887,116877
2021-04-11,185216,158935,73442,26661,29868,761025,807228,466867,153848,91455
2021-04-18,167430,152696,58332,24435,22140,819365,816667,393004,150068,62955
2021-04-25,165716,126959,57272,24210,29209,888262,615405,463733,145175,115020
2021-05-02,184446,134855,56749,28989,23337,1024556,738295,443712,174766,95314
2021-05-09,195011,135582,62388,26829,21953,1022193,635024,404746,139300,67046
2021-05-16,198335,137592,61023,28911,28839,1179513,630863,424655,171622,74999
2021-05-23,164113,149338,55373,24987,27435,885358,874624,368909,160393,82352
2021-05-30,156252,141339,47796,24168,20488,802307,891293,354130,146987,77608
2021-06-06,184696,139879,44946,23010,19132,950721,668338,326193,145785,79130
2021-06-13,180291,129554,44751,21407,17433,923211,624549,319566,118955,79068
2021-06-20,161971,121606,44190,22239,16446,690950,582532,214413,92784,58300
2021-06-27,153909,114804,41411,44667,16932,683759,607032,200528,92692,49751
2021-07-04,238339,131083,59221,46778,24409,1227471,796768,466232,178112,112736
2021-07-11,201698,125242,54567,32581,21581,892872,626254,357116,133216,89383
2021-07-18,191992,125489,44941,29965,19732,800351,595045,238234,104057,66383
2021-07-25,184578,104786,42508,26969,16182,840920,597119,205463,98159,56566
2021-08-01,193815,116279,46821,27572,14832,886454,827702,219634,84462,43473
2021-08-08,174087,119746,41488,25038,13060,845100,799369,215275,89473,38357
2021-08-15,187967,118774,42711,25522,18603,1024891,798567,253466,116141,69473
2021-08-22,201671,124526,49176,25657,22347,1180483,812363,354097,124045,101689
2021-08-29,204994,157532,43754,24758,20668,1247589,1228575,336998,135881,102409
2021-09-05,219804,152504,54826,25968,19953,1104690,1210441,354138,96811,70235
2021-09-12,209441,141149,53527,29858,21562,1063616,789542,351954,152188,92274
2021-09-19,249059,155458,59206,31192,21630,1365594,1026123,458893,179233,82938
2021-09-26,262956,156227,55198,29359,21274,1697487,978248,460354,151374,87063
2021-10-03,257097,158189,59312,27792,23546,1476752,998369,448983,119609,90382
2021-10-10,253766,160180,62368,26288,24485,1459854,1042089,500618,142841,101393
2021-10-17,242859,150333,60760,27457,25608,1231411,769348,439059,129625,105341
2021-10-24,243884,159688,58027,24389,22546,1296188,980104,337368,109970,91293
2021-10-31,282897,171000,69467,26349,26945,1632366,1152068,510681,126462,126540
2021-11-07,250456,167979,62402,26515,22946,1135926,1022520,343899,131945,76439
2021-11-14,254497,169026,71856,25177,24405,1154584,1016355,418005,99522,83421
2021-11-21,354434,239900,76380,29732,34227,2204443,1940855,579580,119322,212814
2021-11-28,306097,208250,71375,26655,25883,1761038,1529076,420099,105424,129214
2021-12-05,259923,176327,60434,22704,21193,1294283,971910,341452,79519,74615
2021-12-12,243535,150703,60275,20733,22153,1358887,849485,370419,74751,74414
2021-12-19,207151,144741,47595,18685,20842,823911,641973,188893,55410,60453
2021-12-26,284032,163978,59564,26085,27714,1245792,839273,319349,123232,109395
2022-01-02,258801,155372,64395,26367,26121,1079299,732017,352577,101676,96132
2022-01-09,227661,139277,59705,26105,26926,835120,632114,298793,109196,103140
2022-01-16,195621,144668,58584,24770,23607,820911,621910,286746,84357,88906
2022-01-23,173825,147369,57377,23478,20872,824613,764365,351183,102764,101634
2022-01-30,171530,152428,59933,24340,20495,793771,872366,283682,106338,100713
2022-02-06,185122,158836,61789,23287,19902,960570,870587,365877,106296,85107
2022-02-13,203155,184927,55836,23990,18352,1132889,1339668,321556,130754,62502
2022-02-20,209929,198284,52736,24573,19038,1139896,1640970,280257,142910,67557
2022-02-27,226130,204475,47534,23616,17826,1250253,1367884,251236,136866,75017
